environment_transformation,inferred_actions,counterfactual_prediction_error_per_action
8,3,"[1.136799458256194, 1.1014910302101732, 1.3220755797547459, 0.9206853006096498, 1.2231455056914207]"
3,4,"[1.0753730948392604, 1.0881479833745933, 1.1640267495450094, 1.208694871733203, 0.9351564747027087]"
1,2,"[1.1101967429677133, 1.1438270363227854, 0.9039480695375818, 1.348936223788256, 1.111553187482209]"
8,0,"[1.0815736421851196, 1.1151325177513824, 1.3644953086323062, 1.086488517805081, 1.3562880302458178]"
1,2,"[0.9408001323565529, 0.8570617481477818, 0.6595316230163071, 1.081276941193098, 1.0892526608084176]"
0,0,"[0.8015113050050767, 1.0233877107344505, 0.9141098574571771, 0.8792300474608671, 1.002380190507072]"
5,4,"[1.3979964647032106, 1.5840696222083188, 1.2183907399960612, 1.7232187015804092, 1.1304188325062268]"
0,0,"[0.8607972298889476, 1.1002840849209916, 1.2671477590182976, 0.9639115949258427, 1.0818392077853793]"
8,1,"[1.2371937214409956, 1.0459815097783698, 1.2000624207351667, 1.0870847618922388, 1.2864445435994323]"
1,2,"[1.1902776907836663, 1.2670819849126795, 0.7612481829372284, 1.2066222479053812, 1.2604852793207448]"
7,4,"[1.262199528904706, 1.203904104290948, 1.453541350695364, 1.5835655419192443, 1.0118745896445143]"
7,4,"[1.187569198223992, 1.1405942648557295, 1.290155914370965, 1.4668677890429014, 1.0935119047335389]"
2,1,"[0.8860362240259513, 0.7513949227641865, 1.2711121290183256, 0.9475335307425431, 1.4328862337470318]"
3,4,"[1.2613563489715225, 1.2062027207886594, 1.3115099284655354, 1.4221268262459872, 0.7734158942017435]"
0,2,"[0.999276610919932, 1.2209999239824352, 0.936447998195204, 1.1488759692044905, 1.0830136931085064]"
3,4,"[1.1895666235703024, 1.2733364450307278, 1.2419221156983746, 1.3590996175577619, 0.99495904052088]"
7,4,"[1.3929043506561167, 1.3778748064914683, 1.3430525222795502, 1.6556978273833607, 1.147746992438811]"
1,2,"[1.0951727197362568, 1.128747982011827, 0.7560793480886832, 1.1434214276624968, 1.350868301199693]"
3,0,"[1.2604104958761928, 1.7068749861079566, 1.4708941180391162, 1.8121777709321227, 1.4032821559960114]"
0,2,"[1.2294144006128, 1.1208330036310679, 0.9811497530408337, 1.1757868995940077, 1.1326621133624601]"
2,2,"[1.221891757670701, 1.2527000688442371, 1.1609608754945944, 1.3054400315743884, 1.2846721007427089]"
4,0,"[1.1201976433031684, 1.3767176449697873, 1.277265524990933, 1.1250591631574631, 1.283890847224781]"
8,2,"[1.3227866523811918, 1.119599031705804, 1.0243966053472202, 1.1011058345800517, 1.5332421710899817]"
6,3,"[1.222978290439193, 1.2743666268992453, 1.2367196734086132, 1.0452281039965712, 1.383252620525374]"
7,4,"[1.256291844651574, 1.311621420399028, 1.43865231463243, 1.4046424407783644, 1.176434246389441]"
7,1,"[1.5068865799041904, 0.9737242466858195, 1.2166937905391086, 1.0300430270759748, 1.2157651458078382]"
0,0,"[0.8421946527363448, 1.1975140855286104, 1.34755896620958, 1.210522894156977, 1.2053195789672573]"
0,0,"[1.1442929564413409, 1.4167762649175768, 1.5538893946424208, 1.2538586647861196, 1.4763651720232625]"
8,1,"[1.4647744383285342, 1.183231074966729, 1.7546593544098346, 1.3809242489718798, 1.4249885792332415]"
6,2,"[1.0189922030834164, 1.1311740584066332, 0.9393977991728168, 0.9635994141215406, 1.1118839676972345]"
4,3,"[1.0672770790247796, 1.1311601554663238, 1.190378887331251, 0.7680046109156417, 1.3512070396918343]"
6,3,"[1.0582050142371586, 1.0112787863811785, 0.9386003012718818, 0.7905203982731162, 1.303116759911601]"
2,1,"[0.9123674250845839, 0.8383789313555454, 1.2010049750883633, 0.842351491847375, 1.4189550827257742]"
6,2,"[1.059498552911888, 1.066558917931819, 0.9634373960112474, 0.9957189222746808, 1.0381494221142877]"
8,3,"[1.5267344161371543, 1.1653987010638518, 1.4394799693615399, 0.9554241375462255, 1.4748270530878262]"
7,1,"[1.2541473904253464, 1.1099904205731173, 1.3554631203577083, 1.295538553436646, 1.21459906047278]"
6,2,"[0.9678969267971275, 1.0108024933956272, 0.9343603517095861, 0.9895304449412926, 1.158522386842945]"
5,4,"[1.2248274059551199, 1.19378312531116, 1.061792453333387, 1.328949485133962, 1.0245648196101682]"
8,3,"[1.235721763577794, 1.2153223250373688, 1.4807777570227312, 1.0862590543995398, 1.406959294596745]"
0,0,"[0.7474833810968974, 0.9563725777829664, 0.924413339186962, 1.1298786499364948, 1.1608610525973433]"
4,3,"[0.9847968375802783, 1.1724289156635666, 1.2824927671637627, 0.757792266692695, 1.4874042910626883]"
3,4,"[1.0463956614114662, 1.1988804601675795, 1.1769314206609534, 1.219240122655608, 0.7239683749602321]"
3,4,"[1.064364646133199, 1.2139642785062212, 1.0597043071783583, 1.2562056956493308, 0.7092289000457184]"
3,4,"[0.7603769924133139, 0.9904463039221801, 0.9173809791556312, 1.096062208474444, 0.6305587793110421]"
3,4,"[1.0230952850397392, 1.0703580980809064, 0.9484094894662711, 1.2168011869210118, 0.8481714023665565]"
4,3,"[0.9872333002454847, 0.988461556605361, 1.11492401993415, 0.6050784362160996, 1.3542201669306764]"
2,1,"[0.9614505396707097, 0.670016108876277, 1.1667120904320263, 1.0120428935963937, 1.2450865244283926]"
5,4,"[0.9697319648820952, 1.0388844186151778, 0.9723625322084998, 1.2165804909779565, 0.7092083293617163]"
0,0,"[0.5903592483404637, 0.9499286242454994, 1.0230404045691386, 0.8865342812534692, 1.0744807102229847]"
6,3,"[0.907893040418651, 0.9603738634516634, 0.8745638164927669, 0.867562089763025, 0.9509156516433653]"
6,3,"[1.0375198196450437, 0.8851984137420927, 0.8771561389661047, 0.6371776342709335, 1.2228705231318275]"
3,4,"[0.9612313070514732, 0.9661926856159212, 1.2196137501735724, 1.2558188346194747, 0.6505340342889346]"
3,4,"[1.0336774956170895, 1.1596763934029215, 0.9263138902987681, 1.1236931630153557, 0.6497243346795454]"
6,3,"[0.8669801295005982, 0.9806867203465193, 0.875620579825696, 0.8223785169408434, 1.159267882449217]"
3,4,"[0.872832754320458, 0.8697363048645643, 0.898376968106161, 1.16600034817339, 0.6360486900649929]"
2,1,"[0.9360210374174527, 0.7641174010051103, 0.9825199868377511, 1.1106273100795152, 0.992069178599993]"
3,4,"[0.9028791436529232, 1.020028211016148, 1.13652345579702, 1.1974659677641997, 0.8078266413490534]"
8,1,"[1.254210253400223, 0.9008230355433147, 1.2545864741606725, 1.0494377125880006, 1.4657029734422322]"
6,3,"[1.1412978305439079, 0.9882465545266693, 1.0629145182931286, 0.8342518509781062, 1.3070360182431542]"
7,1,"[1.229040986957767, 1.1939620886311118, 1.3096434011703388, 1.547616596039233, 1.2618714240983726]"
1,1,"[0.9412030461001524, 0.7867584230233301, 0.8895100737045784, 1.122536717502749, 1.047566410322025]"
3,4,"[0.9492325409600207, 1.1158992078214567, 1.0106838785583347, 1.11195989368289, 0.7775035873524309]"
1,2,"[1.1960020694037587, 1.288720180711205, 0.9241036765752711, 1.3718033142049462, 1.2393647299343886]"
2,1,"[1.3019642681221741, 0.8801605119914442, 1.1549951251382973, 1.2039721426485925, 1.3747880585085652]"
0,2,"[0.9730439174152784, 1.0544085928839175, 0.9136676484021773, 1.1342921237082981, 1.1625257761092123]"
6,3,"[0.9980721938320576, 1.0607808461641097, 0.9978531219394012, 0.8238208101240815, 1.077389710948617]"
8,3,"[1.230304868260027, 1.0079833330561507, 1.46228630433793, 0.997523058368311, 1.402466562745915]"
2,1,"[0.9562059046765495, 0.791394393062058, 0.9945619583901384, 1.136955985807488, 1.1057630498783295]"
3,3,"[0.9071379513313222, 1.000310840344986, 0.885431248322916, 0.7821024464262872, 1.080086638027376]"
2,1,"[0.9754254419643524, 0.7180035625418746, 1.1470255757886332, 1.099471185366291, 1.2052420625417648]"
0,0,"[0.923782978727363, 1.0687839812892392, 1.1271456433145681, 1.0009375034375951, 1.183610721711896]"
8,3,"[1.1867843347895157, 1.0550483995896074, 1.4794811006323703, 0.997789044522597, 1.6575199355646868]"
5,4,"[1.2683849186963705, 1.457885692343159, 1.1512615116119396, 1.664916107013482, 1.0829293983439652]"
0,0,"[0.873115242418728, 1.1229024267994636, 1.106111035163598, 1.1060874664817704, 0.9426908873148733]"
0,2,"[0.8476195069398735, 0.9378620412082436, 0.828506840398641, 1.2141151293963042, 1.0740664752614821]"
4,3,"[1.2283185056868222, 1.2075663178716607, 1.2620868123801867, 1.0049049641906362, 1.4560291046422964]"
4,3,"[1.1214007603560638, 1.2738021535393016, 1.1355853994829466, 0.8120196109254999, 1.466991407478036]"
5,4,"[1.3040275225329008, 1.408414177636756, 1.2607491710047312, 1.4548248406306545, 1.0994125153931402]"
7,4,"[1.539048721565988, 1.4880833085080876, 1.6414017425593581, 1.553847413796422, 1.346675221660521]"
8,3,"[1.3973860530186404, 1.4427139818003827, 1.4801614325364445, 1.1483447547228909, 1.6196846559812883]"
4,3,"[1.2733119490089748, 1.2847437734560252, 1.1643778330279093, 1.0288365501346812, 1.3813400060388472]"
4,3,"[1.0390215702376029, 1.104611358885606, 1.1621867610929095, 0.7889852924812244, 1.5370964930200317]"
0,0,"[0.8166512029079955, 1.0623771679733796, 0.9031892336853492, 1.0839860832131283, 1.2314163744601268]"
6,3,"[1.0379974069118783, 1.1174518157846505, 0.9126814284582035, 0.8451041204590879, 1.0702921487556813]"
8,3,"[1.2973953988079003, 1.2278734682127965, 1.4734235555989976, 0.917213989309634, 1.4768246216753773]"
0,0,"[0.6550089725031547, 0.7842358963801013, 0.7911199408557671, 1.1360984908135001, 0.9574623547789536]"
0,0,"[0.7325962749816881, 0.7579862325344011, 0.8713639949511125, 1.135249638498738, 0.8609831962231627]"
8,1,"[1.4431077627446334, 1.1734208060308169, 1.4190475055748548, 1.211823320662063, 1.564213372874957]"
4,3,"[0.9562583527353038, 1.1748342377430256, 1.0934833156702675, 0.565744187543718, 1.3013374083919782]"
6,3,"[0.33787787839973715, 0.370578522115214, 0.3040371137295221, 0.21586398763223275, 0.4727586638409246]"
8,3,"[0.38002158516388274, 0.41242601374215615, 0.34905146891419686, 0.26866997122160846, 0.46450692637500324]"
7,4,"[0.4442724959275354, 0.38493454246244657, 0.4877005395433358, 0.4669271069498716, 0.3202906044762831]"
4,3,"[0.27688118792194094, 0.31509356743015926, 0.2654355108423677, 0.07356116120172407, 0.3517812182566167]"
4,3,"[0.24272999197038664, 0.28157467160046684, 0.21421210743838148, 0.06241200669524916, 0.345362226096464]"
1,2,"[0.12726147361999793, 0.18856205102736212, 0.056727966904406145, 0.19665386444431882, 0.2585649789752636]"
2,1,"[0.151571756210565, 0.0739860349273218, 0.205398944449623, 0.257201712305851, 0.2579876130527434]"
4,3,"[0.22722835229960847, 0.2644312925879518, 0.20516566259810282, 0.04766706924822677, 0.3378611591723234]"
1,2,"[0.12575372134464272, 0.1721484533229522, 0.06210015303955933, 0.18744277893931247, 0.26115815637273765]"
5,4,"[0.18158061118464386, 0.16521672427819376, 0.20363000413737065, 0.26514879751030046, 0.12432066630916139]"
8,3,"[0.19068031045693093, 0.21097029031719564, 0.1699395842762172, 0.10872898568290107, 0.30390672718192113]"
3,4,"[0.21631757478759767, 0.19734646840041845, 0.2283114602937563, 0.29429607875803254, 0.06133598586874839]"
4,3,"[0.24285234383547186, 0.27308482314160504, 0.2162496491543094, 0.06408451112682294, 0.34513059664137646]"
7,4,"[0.2217608610002635, 0.21050682442281263, 0.24838342017474185, 0.3083448596395582, 0.1153908637702432]"
1,2,"[0.11418141606803792, 0.1611396642741362, 0.05961445551960118, 0.18346845220058627, 0.26592714989013927]"
8,3,"[0.20311964181205744, 0.21370067369524737, 0.17720887402808588, 0.10872760418783942, 0.2965617553794486]"
7,4,"[0.23503966608167678, 0.21800763062967943, 0.2630331195610015, 0.3062919008420737, 0.13400019770642518]"
1,2,"[0.1254108390082664, 0.17663272782293796, 0.058820431932963935, 0.19157329234798345, 0.26611964502726376]"
6,3,"[0.2540353117257995, 0.2845000679126788, 0.2266863714027332, 0.11624523765317869, 0.375673631633033]"
1,2,"[0.12677985227392316, 0.17613175143595952, 0.0601774718765978, 0.20465598500754778, 0.27559835069194105]"
0,0,"[0.06074046278495987, 0.1265960041017667, 0.12266183933076143, 0.22720564881874045, 0.24742734323417453]"
1,2,"[0.13393426515965157, 0.18427692665236345, 0.06643430738291325, 0.22326871392177458, 0.2853460721484872]"
6,3,"[0.311484858126065, 0.3368545539654458, 0.27040948925280156, 0.15001481289814966, 0.41936990567322263]"
4,3,"[0.2912059507238857, 0.32209372977187745, 0.26751245546099645, 0.0849043758681462, 0.41782386573880886]"
1,2,"[0.1820318048333371, 0.24393092697342042, 0.10621566858660013, 0.27594887811809404, 0.32876971841089425]"
7,4,"[0.2560934489780845, 0.24477800453249132, 0.2759999074339, 0.34125105512931836, 0.1395935888493323]"
5,4,"[0.2139265572304693, 0.18043910181134643, 0.22981374044668218, 0.3029093318405133, 0.1274195307358481]"
6,3,"[0.2884917984364625, 0.3151176702976888, 0.26167190928226236, 0.14266505678608396, 0.39211498629628344]"
1,2,"[0.17264490934381105, 0.2266173258601836, 0.09090053839004425, 0.26432413566912183, 0.3095591014667253]"
2,1,"[0.1827795677360216, 0.11935733062359526, 0.24097538967273333, 0.30869239272311877, 0.266359683613175]"
3,4,"[0.29859023236811905, 0.27800873766868117, 0.32436998514753296, 0.39119196635447484, 0.11647292018379009]"
1,2,"[0.21189513457482573, 0.27887388563385607, 0.11547213961971341, 0.26317846850944604, 0.3653267503339401]"
7,4,"[0.24511468685318055, 0.23045514151088367, 0.2612830872054862, 0.33397525753330254, 0.1216325356852465]"
6,3,"[0.3185760165759307, 0.34930531842548745, 0.2882635134004413, 0.15914407046984572, 0.4319880198415051]"
6,3,"[0.40887218356236077, 0.4418946187959952, 0.3658885488991327, 0.23315727809993372, 0.5096284912924417]"
1,2,"[0.215009334668091, 0.26533839391170855, 0.14859003145897073, 0.30519259221813305, 0.3380727058937585]"
8,3,"[0.4602182818575064, 0.4977343822076461, 0.4420918527211475, 0.2719620345760829, 0.5985903361259907]"
1,2,"[0.311340951474616, 0.3737079243349991, 0.18605593910537138, 0.4019670819475213, 0.44047242740503556]"
3,4,"[0.337175546578055, 0.31274949335087504, 0.35950357477844086, 0.4254652864406127, 0.12111745027748516]"
8,3,"[0.40461621080417165, 0.4193881838583044, 0.4076195470420796, 0.3204323417341525, 0.570858240040531]"
7,4,"[0.44038868434874945, 0.3962705024685229, 0.47748231170590216, 0.5912244596890247, 0.28751491619201547]"
7,4,"[0.24979344091213906, 0.24055886807868837, 0.2670326889792458, 0.3437068708639113, 0.14758035756094462]"
8,3,"[0.2217985299765175, 0.24740717987661578, 0.21325122547120468, 0.16204231366574834, 0.353434544640501]"
4,3,"[0.27912915661773563, 0.3112549213362995, 0.2627075221197424, 0.0980068175714058, 0.4089004558554693]"
1,2,"[0.15770450654538762, 0.21325445462924797, 0.08200380614916505, 0.22774865982808332, 0.28726983915016635]"
8,3,"[0.2482974989664051, 0.2703402611766754, 0.23046145597906068, 0.17541008937831631, 0.37636967243585895]"
8,3,"[0.29992198086183125, 0.33783811591841956, 0.26627150096012386, 0.19997464469843115, 0.41387836311180987]"
0,0,"[0.09676069235735453, 0.17068380697207347, 0.17197269365907336, 0.26512794644731397, 0.24982327541882482]"
7,4,"[0.24895835723633652, 0.21218000110636479, 0.26674546053585785, 0.31769182033930454, 0.1482389860824929]"
7,4,"[0.24053701736214914, 0.21654756705160041, 0.2569178739989128, 0.30504583871459057, 0.14771090562580047]"
0,0,"[0.0580154419050616, 0.14536942102290362, 0.11360348006197869, 0.22289497770664454, 0.25377533680664505]"
3,4,"[0.22034347963010864, 0.19799302058584237, 0.23858597850989127, 0.2901966656402136, 0.05505725624062087]"
6,3,"[0.2623605087970738, 0.2910295261783899, 0.23535842566034887, 0.14039112119709474, 0.36526334626746654]"
6,3,"[0.3315121136314786, 0.3701543066545976, 0.2937566802612281, 0.16701157610601575, 0.4265817858812758]"
3,4,"[0.2769660425911281, 0.24620901641135995, 0.30741034709282344, 0.3512326987076964, 0.08036711513392349]"
4,3,"[0.4425585194795597, 0.49441509243468584, 0.3874430126462641, 0.18578568333061435, 0.5692602722996989]"
3,4,"[0.3176998863731059, 0.2871684427978648, 0.34613792444312497, 0.40991947695024883, 0.11465223520723433]"
5,4,"[0.25345766186373087, 0.23438253049526353, 0.28463177049717264, 0.33645414294108117, 0.17615717079309562]"
3,4,"[0.23980382301533656, 0.22707356695553751, 0.2552985619119391, 0.33493748907254206, 0.07483777483202543]"
0,0,"[0.08136287852859617, 0.14469444938644693, 0.1491500791385414, 0.24983914109152186, 0.25495329062258515]"
5,4,"[0.2394860620279402, 0.2081416952131691, 0.2417893453356903, 0.35601681663845725, 0.16911269964100184]"
7,4,"[0.2402754094885001, 0.22513373838316353, 0.263671503899576, 0.318119277494946, 0.13155476814113518]"
5,4,"[0.19873465048902506, 0.17300872908800027, 0.2175384963425541, 0.29707618333751845, 0.12282512436347069]"
3,4,"[0.2050985169328003, 0.18902158115301632, 0.22133209695588904, 0.2815957336088619, 0.05744999562396904]"
0,0,"[0.06818859170890251, 0.13308705221662928, 0.12890555224027017, 0.21671058433303284, 0.23605978429687058]"
1,2,"[0.1284175242570049, 0.17901078937494638, 0.05500260631301914, 0.20022994999189214, 0.2605587217848622]"
0,0,"[0.07160945199498706, 0.13991196202999814, 0.13545971174403695, 0.21637442480072752, 0.2465151824661944]"
8,3,"[0.22082013883544813, 0.2522769403744989, 0.18354421649971822, 0.13397428007007478, 0.35520168513885947]"
6,3,"[0.3245751714472728, 0.3656831657275033, 0.3043431901137427, 0.16630252137131185, 0.4401885536661213]"
4,3,"[0.3838057159733544, 0.42129810225864317, 0.37370836812479247, 0.11409917296497389, 0.5111046149373508]"
4,3,"[0.4716474368036593, 0.5064851612944561, 0.45258367956972495, 0.17913025361268842, 0.6074955357902984]"
2,1,"[0.28770619387374546, 0.20137626836283815, 0.36940994272087607, 0.4275236022436323, 0.3669355934813773]"
4,3,"[0.3687782837985194, 0.40352202507650536, 0.3307742864529492, 0.17959284990877983, 0.5099651770856153]"
7,4,"[0.5261212351442448, 0.46614308268592214, 0.5531322352304281, 0.6568233095635974, 0.3638407402005079]"
0,0,"[0.19947449668748496, 0.29152373303774193, 0.26378667892642177, 0.42937472754616407, 0.4090784364763292]"
2,1,"[0.3219250640452459, 0.22596840891449424, 0.3661815818754902, 0.4642277001514989, 0.41821812520977614]"
7,4,"[0.26886120238748185, 0.2527273837611988, 0.28733085888234017, 0.3699605015309301, 0.14114315292749235]"
3,4,"[0.23806575142503053, 0.20837050583403965, 0.26271529891067613, 0.31754577063651357, 0.06925068508294015]"
2,1,"[0.1459389140298486, 0.07873975214590213, 0.19589437606107205, 0.24950939322753674, 0.22230759327916355]"
7,4,"[0.2493908158650255, 0.22487913560008882, 0.27107558626565514, 0.3313850483283144, 0.1446223910971374]"
8,3,"[0.21881582890699963, 0.2560362588437184, 0.19281242720007008, 0.15818533590171005, 0.33303809029719367]"
4,3,"[0.31325274702911293, 0.3632288179473952, 0.27245612389688956, 0.0883879952826099, 0.42939853464464034]"
7,4,"[0.26983708020662756, 0.24111231730119678, 0.2914163546112062, 0.3253140653036154, 0.14940405387126485]"
7,4,"[0.23982784741498844, 0.22398532065429375, 0.26352583946126557, 0.295827050277427, 0.14006275059461099]"
4,3,"[0.2305022428794149, 0.25231103355326523, 0.2164614419355798, 0.05160437100495655, 0.3236789544237712]"
7,4,"[0.2544352461066543, 0.22565496442515115, 0.27176839553714505, 0.31683453644158327, 0.15909732102707905]"
8,3,"[0.20912074579964382, 0.2247121707763156, 0.17417633901329532, 0.1410076316289904, 0.3083143044738553]"
7,4,"[0.258376111618681, 0.2278467819140152, 0.2854172011462056, 0.33103928444381736, 0.1584175202004867]"
1,2,"[0.15717179169424758, 0.2182157194350604, 0.06905780414171668, 0.2111859597100472, 0.30391280357681927]"
0,0,"[0.07050589992698536, 0.1705024006753626, 0.17895964965763692, 0.2770149360747923, 0.3199326118167413]"
2,1,"[0.16614806849740962, 0.07601216605358295, 0.2282014717689391, 0.3027300312609178, 0.2807585707241751]"
7,4,"[0.5198435474991261, 0.45895658668570727, 0.5330658784007577, 0.5706908992843281, 0.34303934090595833]"
6,3,"[0.4117123378249116, 0.4116877861886459, 0.3614056183114968, 0.251787728103775, 0.41587137136827945]"
0,0,"[0.09707188592476215, 0.2112281730067383, 0.215890193493229, 0.2984711987870221, 0.3444374416873103]"
1,2,"[0.15443232371678262, 0.20508334561057284, 0.07523420556159797, 0.21140828801098605, 0.30572574845871003]"
1,2,"[0.16096467435103307, 0.212607284659643, 0.06982489862479593, 0.21700636101226595, 0.30170513472725075]"
2,1,"[0.16701205526017532, 0.07851488630621611, 0.22716702037242742, 0.2955129120864367, 0.25978887724988947]"
0,0,"[0.09642831515788897, 0.21577124927993135, 0.21867577319701317, 0.2969194965715591, 0.34443086255496747]"
8,3,"[0.2510255434919768, 0.28696977164895676, 0.22492418038504042, 0.1541350164961178, 0.35261005793358946]"
1,2,"[0.17494202299104558, 0.2347607646279998, 0.08496098188170981, 0.23471326620160626, 0.3352227079268957]"
6,3,"[0.27876524646245165, 0.3086462489737543, 0.24972020672038467, 0.1560453757159526, 0.34903116539564705]"
0,0,"[0.054193465270007596, 0.15473080411414594, 0.1510171503154783, 0.2567290839297524, 0.2627358794485968]"
5,4,"[0.22847545404462263, 0.1970594692596295, 0.2468618320049422, 0.30053377665556175, 0.15633912524143523]"
3,4,"[0.4580135493744736, 0.4049030681477692, 0.5160577442483105, 0.5063945074922653, 0.13728180545752128]"
1,2,"[0.19491550312620337, 0.2860174456463233, 0.09896260338452853, 0.27101762666805307, 0.3418708377074688]"
7,4,"[0.6565643926344227, 0.5681306108870602, 0.6877715418883253, 0.6845991961990809, 0.3950393859643379]"
5,4,"[1.3316719989745693, 1.266302574029068, 1.3439852926025069, 1.3934538850292109, 0.9829188917036082]"
